City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,cayenne,4.9333,-52.3333,24.02,94,20,1.03,GF,1670100666
341,grindavik,63.8424,-22.4338,2.26,87,0,3.09,IS,1670100954
342,bronnoysund,65.4625,12.1997,-2.0,74,21,3.13,NO,1670100954
343,nelson bay,-32.7167,152.15,18.89,91,11,0.89,AU,1670100955
344,ahipara,-35.1667,173.1667,18.59,62,0,2.32,NZ,1670100955
345,ngama,11.7833,17.1667,26.91,21,0,4.03,TD,1670100955
346,grand gaube,-20.0064,57.6608,24.22,73,56,0.45,MU,1670100956
347,moron,-34.6534,-58.6198,30.53,54,6,3.26,AR,1670100956
348,pratapgarh,24.0333,74.7833,15.56,55,3,3.31,IN,1670100957
349,port blair,11.6667,92.75,26.88,82,100,4.5,IN,1670100957
350,sayyan,15.1718,44.3244,9.54,49,0,1.86,YE,1670100958
351,general pico,-35.6566,-63.7568,34.07,19,0,4.02,AR,1670100855
352,great falls,47.5002,-111.3008,1.34,64,99,4.54,US,1670100958
353,canala,-21.5333,165.95,24.54,93,100,1.49,NC,1670100959
354,saumur,47.3333,-0.25,4.06,87,65,3.74,FR,1670100959
355,vetlanda,57.4289,15.0776,-1.2,91,100,3.81,SE,1670100960
356,salaga,8.5508,-0.5188,28.06,58,63,2.23,GH,1670100960
357,hay river,60.8156,-115.7999,-12.01,79,100,4.12,CA,1670100961
358,erice,38.037,12.5865,13.26,77,65,4.87,IT,1670100961
359,khandyga,62.6667,135.6,-37.26,98,99,1.07,RU,1670100961
360,mindelo,16.8901,-24.9804,22.75,56,20,4.12,CV,1670100962
361,nome,64.5011,-165.4064,1.04,87,100,6.17,US,1670100912
362,berlevag,70.8578,29.0864,-4.03,80,32,9.77,NO,1670100963
363,pasighat,28.0667,95.3333,15.88,52,5,1.47,IN,1670100964
364,chuy,-33.6971,-53.4616,18.45,95,100,2.03,UY,1670100964
365,acapulco,16.8634,-99.8901,29.84,57,10,3.57,MX,1670100964
366,ikalamavony,-21.15,46.5833,22.28,71,94,1.83,MG,1670100965
367,idlib,35.9306,36.6339,12.98,71,90,0.31,SY,1670101025
368,szank,46.5571,19.661,3.39,84,100,3.63,HU,1670101026
369,coos bay,43.3665,-124.2179,13.33,80,20,3.09,US,1670100861
370,hauterive,46.0901,3.4459,3.42,94,100,1.06,FR,1670101027
371,campoverde,-8.4753,-74.8058,23.83,95,100,1.05,PE,1670101027
372,bijie,27.3125,105.2942,1.52,92,100,2.11,CN,1670101028
373,kortkeros,61.8106,51.5806,-9.0,98,74,1.29,RU,1670101028
374,daru,-9.0763,143.2092,25.57,86,100,2.51,PG,1670101029
375,thana,34.6369,72.0739,11.67,35,4,2.82,PK,1670101029
376,sao francisco de paula,-29.4481,-50.5836,21.88,98,86,0.91,BR,1670101030
377,hasaki,35.7333,140.8333,2.22,71,89,3.55,JP,1670101030
378,drumheller,51.4617,-112.7101,-8.09,65,15,3.6,CA,1670101031
379,vestmanna,62.1564,-7.1664,5.51,93,75,6.17,FO,1670101031
380,nueva loja,0.0847,-76.8828,30.01,66,40,3.09,EC,1670101032
381,mayumba,-3.432,10.6554,24.81,84,100,1.31,GA,1670101032
382,te anau,-45.4167,167.7167,13.8,61,100,3.98,NZ,1670101033
383,plettenberg bay,-34.0527,23.3716,15.78,70,100,0.76,ZA,1670101033
384,mercedes,-34.6515,-59.4307,32.24,17,0,2.78,AR,1670101033
385,hassan,13.0006,76.0994,18.46,92,93,2.56,IN,1670101034
386,harper,4.375,-7.7169,25.57,82,100,5.78,LR,1670101035
387,mozarlandia,-14.7447,-50.5706,24.94,85,100,2.92,BR,1670101035
388,alice springs,-23.7,133.8833,14.75,47,0,2.57,AU,1670101036
389,senanga,-16.1167,23.2667,22.54,23,4,1.69,ZM,1670101036
390,kuminskiy,58.6667,66.5667,-14.51,91,100,2.86,RU,1670101037
391,valkeakoski,61.2642,24.0312,-3.79,91,99,0.29,FI,1670101037
